size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
1250,Apartment,2,Mayur Vihar II,23000,18.4,25710.0
1050,Apartment,2,Mayur Vihar II,20000,19.047619047619047,25710.0
2300,Apartment,3,Mayur Vihar II,36000,15.652173913043478,25710.0
2400,Apartment,3,Mayur Vihar II,30000,12.5,25710.0
2400,Apartment,3,Mayur Vihar II,32000,13.333333333333334,25710.0
550,Independent Floor,2,New Ashok Nagar,10000,18.181818181818183,12721.019108280254
1600,Apartment,3,Mayur Vihar II,32000,20.0,25710.0
1100,Apartment,2,Mayur Vihar II,20000,18.181818181818183,25710.0
950,Apartment,2,Mayur Vihar II,16000,16.842105263157894,25710.0
1250,Apartment,3,Mayur Vihar II,23000,18.4,25710.0
1000,Apartment,2,Mayur Vihar II,13500,13.5,25710.0
900,Independent Floor,2,New Ashok Nagar,12000,13.333333333333334,12721.019108280254
1450,Independent Floor,3,New Ashok Nagar,22000,15.172413793103448,12721.019108280254
650,Independent Floor,2,New Ashok Nagar,12000,18.46153846153846,12721.019108280254
700,Independent Floor,2,New Ashok Nagar,14000,20.0,12721.019108280254
700,Independent Floor,2,New Ashok Nagar,10000,14.285714285714286,12721.019108280254
600,Independent Floor,2,New Ashok Nagar,12500,20.833333333333332,12721.019108280254
